"location";"total_robbery";"total_street_robbery";"total_injury";"total_agg_assault";"total_threat";"total_theft";"total_car";"total_from_car";"total_bike";"total_bulgary";"total_fire";"total_arson";"total_damage";"total_graffiti";"total_drugs"
"sdliche Luisenstadt";1176.0;873.0;3819.0;1551.0;849.0;19610.0;312.0;1794.0;3182.0;672.0;255.0;91.0;3744.0;1176.0;8238.0
"Reuterstrae";634.0;325.0;4405.0;1432.0;1309.0;24421.0;315.0;2239.0;3421.0;1117.0;207.0;99.0;4223.0;1111.0;1910.0
"Karl-Marx-Allee-Sd";740.0;512.0;4645.0;1445.0;897.0;24975.0;330.0;2024.0;2617.0;400.0;132.0;52.0;3892.0;928.0;3565.0
"Moabit West";721.0;348.0;5097.0;1411.0;1596.0;20903.0;466.0;3575.0;3067.0;946.0;277.0;114.0;4233.0;650.0;3336.0
"nrdliche Luisenstadt";888.0;584.0;4336.0;1598.0;900.0;22641.0;220.0;1774.0;2682.0;638.0;226.0;57.0;3610.0;933.0;3627.0
"Schillerpromenade";752.0;416.0;4313.0;1385.0;1280.0;17934.0;247.0;2395.0;1884.0;897.0;234.0;116.0;3960.0;918.0;4683.0
"Spandau Mitte";730.0;411.0;5482.0;1366.0;1890.0;19473.0;324.0;2280.0;2050.0;496.0;221.0;90.0;4124.0;605.0;1688.0
"Rixdorf";623.0;341.0;4292.0;1258.0;1421.0;18441.0;339.0;2735.0;2880.0;1175.0;218.0;107.0;4189.0;711.0;1527.0
"Britz";529.0;314.0;3594.0;894.0;1522.0;17762.0;673.0;4423.0;1439.0;1350.0;263.0;133.0;3699.0;503.0;725.0
"Wilhelmstadt";393.0;178.0;4407.0;1087.0;1523.0;19835.0;271.0;1938.0;1765.0;695.0;158.0;66.0;3573.0;443.0;828.0
"Friedenau";298.0;150.0;2087.0;404.0;922.0;20193.0;588.0;2793.0;3700.0;836.0;176.0;86.0;3133.0;824.0;468.0
"Tiergarten Sd";571.0;399.0;3866.0;1055.0;966.0;20215.0;144.0;2344.0;1895.0;460.0;104.0;36.0;2222.0;361.0;1407.0
"Otto-Suhr-Allee";355.0;170.0;3384.0;800.0;1094.0;18790.0;280.0;2307.0;3142.0;785.0;150.0;63.0;3292.0;706.0;692.0
"Marzahn-Mitte";453.0;247.0;5687.0;1147.0;1481.0;15476.0;1023.0;3075.0;1082.0;334.0;348.0;109.0;4216.0;530.0;677.0
"Zehlendorf Nord";208.0;106.0;1591.0;322.0;789.0;16670.0;666.0;4168.0;2862.0;2098.0;159.0;50.0;3727.0;1391.0;347.0
"Prenzlauer Berg Ost";307.0;162.0;2247.0;520.0;659.0;18218.0;523.0;2357.0;2746.0;583.0;171.0;64.0;3902.0;1619.0;490.0
"Alt-Lichtenberg";321.0;186.0;3461.0;838.0;952.0;17831.0;635.0;2679.0;1893.0;520.0;203.0;102.0;3110.0;774.0;482.0
"Kantstrae";388.0;166.0;2271.0;531.0;796.0;21871.0;172.0;1357.0;2349.0;723.0;71.0;25.0;1750.0;183.0;873.0
"Brunnenstrae Sd";294.0;152.0;1925.0;420.0;554.0;17670.0;490.0;1761.0;3338.0;791.0;100.0;46.0;3210.0;1260.0;759.0
"Westend";239.0;122.0;2123.0;497.0;985.0;19513.0;565.0;2907.0;1498.0;815.0;106.0;52.0;2227.0;302.0;257.0
"Prenzlauer Berg Sdwest";174.0;83.0;2671.0;716.0;530.0;16892.0;432.0;1725.0;3173.0;891.0;93.0;31.0;3141.0;1083.0;331.0
"Mariendorf";344.0;176.0;2912.0;636.0;1276.0;14836.0;635.0;3664.0;1310.0;1147.0;218.0;83.0;3501.0;503.0;691.0
"Frankfurter Allee Nord";221.0;112.0;2576.0;728.0;692.0;15180.0;395.0;1207.0;3178.0;482.0;296.0;96.0;4362.0;870.0;729.0
"Dsseldorfer Strae";332.0;156.0;1890.0;421.0;848.0;15938.0;582.0;3041.0;2424.0;1048.0;121.0;52.0;2781.0;948.0;487.0
"Pankow Zentrum";268.0;154.0;1782.0;409.0;735.0;16052.0;404.0;1642.0;4429.0;623.0;129.0;49.0;2728.0;776.0;300.0
"Hellersdorf-Nord";327.0;183.0;4940.0;916.0;1445.0;12247.0;514.0;1662.0;1006.0;265.0;361.0;127.0;4647.0;1094.0;700.0
"Volkspark Wilmersdorf";339.0;165.0;1918.0;438.0;711.0;15735.0;472.0;2552.0;3420.0;787.0;117.0;40.0;2232.0;492.0;525.0
"Schlostr.";320.0;165.0;1610.0;334.0;532.0;19511.0;257.0;1432.0;2312.0;565.0;111.0;22.0;1799.0;437.0;354.0
"MV 1 - Mrkisches Viertel";449.0;250.0;4118.0;997.0;1589.0;13418.0;452.0;2472.0;924.0;463.0;373.0;128.0;2893.0;304.0;771.0
"Gropiusstadt";432.0;266.0;2881.0;733.0;1094.0;14493.0;384.0;1889.0;1219.0;579.0;167.0;53.0;3614.0;355.0;300.0
"Prenzlauer Berg Nordwest";353.0;184.0;1876.0;569.0;539.0;14782.0;458.0;1379.0;3383.0;453.0;113.0;44.0;2512.0;832.0;828.0
"Weiensee";210.0;104.0;2592.0;603.0;974.0;13793.0;516.0;1670.0;2282.0;596.0;163.0;65.0;3315.0;789.0;404.0
"Prenzlauer Berg Nord";204.0;82.0;1438.0;322.0;508.0;15339.0;578.0;1453.0;3760.0;422.0;83.0;30.0;2244.0;680.0;355.0
"Marzahn-Sd";316.0;146.0;2794.0;542.0;923.0;12930.0;1170.0;2956.0;835.0;497.0;195.0;72.0;2934.0;440.0;335.0
"Drakestr.";130.0;50.0;1723.0;308.0;837.0;13834.0;635.0;3067.0;2100.0;1127.0;141.0;59.0;2394.0;348.0;317.0
"Albrechtstr.";290.0;138.0;2094.0;371.0;1066.0;11906.0;702.0;2677.0;2005.0;1018.0;171.0;79.0;2984.0;610.0;447.0
"Bezirk (Mi), nicht zuzuordnen";403.0;313.0;1954.0;612.0;496.0;16728.0;170.0;1759.0;1000.0;7.0;61.0;28.0;1245.0;441.0;749.0
"Neu Lichtenberg";215.0;124.0;2325.0;504.0;722.0;12468.0;444.0;1455.0;2469.0;465.0;150.0;63.0;3089.0;891.0;448.0
"Prenzlauer Berg Sd";137.0;69.0;1244.0;259.0;484.0;12757.0;674.0;1866.0;2925.0;718.0;106.0;45.0;2705.0;807.0;302.0
"Ost 2 - Alt-Reinickendorf";345.0;170.0;2414.0;531.0;1036.0;11600.0;335.0;2342.0;1177.0;633.0;157.0;58.0;2529.0;591.0;1102.0
"Nord 2 - Waidmannslust/Wittenau/Lbars";308.0;158.0;2844.0;675.0;1037.0;11437.0;258.0;1764.0;1213.0;912.0;144.0;39.0;2445.0;631.0;737.0
"Neue Kantstrae";278.0;136.0;1859.0;435.0;689.0;12343.0;469.0;2107.0;2242.0;710.0;79.0;41.0;1763.0;341.0;695.0
"West 4 - Auguste-Viktoria-Allee";284.0;124.0;2946.0;713.0;1214.0;11577.0;235.0;1847.0;809.0;555.0;133.0;63.0;2455.0;393.0;667.0
"Lichtenrade";225.0;124.0;2541.0;455.0;983.0;9592.0;622.0;2484.0;988.0;1254.0;217.0;68.0;2905.0;440.0;588.0
"Fennpfuhl";193.0;116.0;2098.0;440.0;728.0;10129.0;741.0;2385.0;1462.0;555.0;145.0;46.0;2741.0;552.0;260.0
